able	a.ble
ringed	ringed
rise	rise
roared	roared
robe	robe
rock	rock
rocks	rocks
rod	rod
rolled	rolled
rolls	rolls
romantic	ro.man.tic
romeo	ro.me.o
rome	rome
roofs	roofs
rooks	rooks
room	room
rough	rough
rows	rows
runaways	run.a.ways
runner	run.ner
run	run
sad	sad
sager	sag.er
sails	sails
salt	salt
same	same
sands	sands
sapphire	sap.phire
saturn	sat.urn
saw	saw
saying	say.ing
scope	scope
sculptor	sculp.tor
seadiscoverers	sea.dis.cover.ers
seascented	sea.scent.ed
season	sea.son
seas	seas
secret	sec.ret
seeking	seek.ing
seek	seek
see	see
sees	sees
seest	seest
seething	seeth.ing
serve	serve
seven	sev.en
shade	shade
shadowy	shad.ow.y
shaft	shaft
shaggy	shag.gy
shall	shall
shapes	shapes
share	share
shares	shares
sheer	sheer
shells	shells
shepherds	shep.herds
shine	shine
shines	shines
shires	shi.res
short	short
shot	shot
shuns	shuns
shut	shut
sick	sick
sides	sides
sideways	side.ways
silently	si.lent.ly
silent	si.lent
silken	silk.en
silks	silks
skims	skims
sky	sky
slanted	slant.ed
sleepers	sleep.ers
sleepe	sleepe
slim	slim
slowarching	slow.arch.ing
slower	slow.er
slumber	slum.ber
smalle	smalle
small	small
smeared	smeared
smiles	smiles
smokeless	smoke.less
smudge	smudge
softfallen	soft.fall.en
soft	soft
solace	sol.ace
solemn	sol.emn
someone	some.one
sonnets	son.nets
soon	soon
sort	sort
sought	sought
soul	soul
souls	souls
sounding	sound.ing
speak	speak
speculating	spec.u.la.ting
speed	speed
sphered	spher.ed
spikes	spikes
spirit	spir.it
splendour	splen.dour
split	split
spondee	spon.dee
spots	spots
spreading	spread.ing
spread	spread
spring	spring
springs	springs
sprung	sprung
stainless	stain.less
stair	stair
stake	stake
stands	stands
stand	stand
state	state
steed	steed
steeples	stee.ples
stirred	stirred
stone	stone
stood	stood
storms	storms
storm	storm
stormy	storm.y
strain	strain
strange	strange
streamers	stream.ers
streams	streams
strike	strike
string	string
strove	strove
students	stu.dents
such	such
sudden	sud.den
suffer	suf.fer
summer	sum.mer
sundry	sun.dry
sunken	sun.ken
sunny	sun.ny
sunset	sun.set
sun	sun
suppose	sup.pose
surges	surg.es
surge	surge
survive	sur.vive
sustained	sus.tained
sustaining	sus.tain.ing
swamp	swamp
sweetly	sweet.ly
sweet	sweet
swift	swift
swording	sword.ing
syllable	syl.lab.le
symmetry	sym.me.try
tableshore	ta.ble.shore
tackle	tack.le
takes	takes
task	task
tear	tear
temples	tem.ples
tempteth	tempt.eth
tenderness	ten.der.ness
thats	thats
that	that
thee	thee
their	their
themselves	them.selves
thence	thence
then	then
thereupon	there.up.on
therewith	there.with
the	the
thick	thick
thing	thing
think	think
though	though
thousands	thou.sands
threepersoned	three.per.soned
threw	threw
throbbings	throb.bings
through	through
thrown	thrown
thrush	thrush
thunbending	thun.bend.ing
thunderbolts	thun.der.bolts
thunderbolt	thun.der.bolt
till	till
timely	time.ly
time	time
tomb	tomb
tomorrow	to.mor.row
took	took
toves	toves
towers	towers
towers	tow.ers
town	town
translate	trans.late
travels	trav.els
tread	tread
trembled	trem.bled
trembling	trem.bl.ing
trisyllable	tri.syl.la.ble
triumph	tri.umph
trochee	tro.chee
try	try
turned	turned
two	two
undeceived	un.de.ceived
underneath	un.der.neath
under	un.der
ungratefulnesse	un.grate.ful.nesse
uninvaded	un.in.va.ded
universe	u.ni.verse
unless	un.less
unmanned	un.manned
unnumbered	un.num.bered
unrest	un.rest
unseen	un.seen
unsought	un.sought
untalked	un.talked
until	un.til
unto	un.to
untrimmed	un.trimmed
untrodden	un.trod.den
untrue	un.true
upon	u.pon
upper	up.per
useful	use.ful
us	us
vagrant	va.grant
vauntcouriers	vaunt.cou.riers
veil	veil
vertue	ver.tue
virgin	vir.gin
visage	vis.age
vision	vi.sion
visiting	vis.it.ing
voiceless	voice.less
vorpal	vor.pal
vpon	v.pon
wagoner	wag.on.er
wailing	wail.ing
wait	wait
wakening	wak.en.ing
wandring	wan.dring
wan	wan
warmd	warmd
warmed	warmed
warriors	war.ri.ors
war	war
waste	waste
was	was
waters	wa.ters
waves	waves
wave	wave
wayside	way.side
ways	ways
weak	weak
wealth	wealth
wears	wears
weave	weave
weeps	weeps
weight	weight
wellappointed	well.ap.point.ed
went	went
wer	wer
we	we
wharf	wharf
whatever	what.e.ver
whenas	when.as
when	when
wheresoeer	where.so.eer
wherever	wher.e.ver
whiffling	whif.fling
whip	whip
whispered	whis.pered
whispering	whis.per.ing
white	white
whole	whole
whom	whom
whose	whose
whoso	who.so
wild	wild
will	will
wilt	wilt
winding	wind.ing
wind	wind
wines	wines
wing	wing
winnow	win.now
win	win
wished	wish.ed
wistlessness	wist.less.ness
withered	with.ered
withereth	with.er.eth
within	with.in
with	with
wit	wit
woman	wo.man
wondrous	won.drous
worm	worm
worship	wor.ship
worthy	worth.y
would	would
woven	wo.ven
wove	wove
wrinkled	wrin.kled
wrought	wrought
wynde	wynde
xanadu	xan.a.du
years	years
year	year
yea	yea
yet	yet
yn	yn
yoke	yoke
young	young
youth	youth
you	you
zephyr	zeph.yr
zone	zone
